,Country,Year,Month,Semana,Nombre de la campaña,Campaign Consolidated,Impresiones,impresiones max,impresiones min,impresiones avg,Importe gastado,importe max,importe min,importe avg,Fecha inicio,sem_inicio,abreviatura,Marca,Pais,num_campaign,campaign avg,venta_agrupada,venta max,venta min,venta avg,tipo,score_lineal_norm
203,MX,2022,7,2022-07-23 - 2022-07-29,BD_MX_JUL22_PT_SOCIAL-ECOM,ECOM Boost,985121.0,985121.0,158297.0,541395.3333333334,611.89,611.89,359.27,503.24666666666667,2022-07-23,202229,BD,BLACK+DECKER,Mexico,3,1.4,365330.99521833117,28973.906398930718,-149.20575005503042,70.4743949978772,top_men,1.169136386633103
204,BR,2022,7,2022-07-30 - 2022-08-05,DW_BR_CONV_GrowTheCore,Grow The Core,2437866.0,2437866.0,322550.0,1372286.6666666667,1463.66,1463.66,680.53,953.50003162,2022-07-30,202230,DW,DEWALT,Brasil,3,1.4,601823.7539402867,28973.906398930718,-149.20575005503042,70.4743949978772,top_men,1.1773683467139007
205,MX,2022,7,2022-07-09 - 2022-07-15,DW_MX_JUL22_PT_SOCIAL-ECOM,ECOM Boost,3613169.0,3613169.0,201835.0,1385525.3333333333,839.02,839.02,185.5,523.2766666666666,2022-07-09,202227,DW,DEWALT,Mexico,3,1.8571428571428572,1025110.9347753238,28973.906398930718,-149.20575005503042,70.4743949978772,top_men,1.2865964740313243
206,BR,2022,7,2022-07-02 - 2022-07-08,IW_BR_ENGT_JUN22_HT_Social-Boosting,Social Boosting,783724.0,783724.0,8663.0,396193.5,128.32,128.32,9.81,69.065,2022-07-02,202226,IW,IRWIN,Brasil,2,5.285714285714286,37089.469682395575,28973.906398930718,-149.20575005503042,70.4743949978772,top_men,0.9371067811865476
207,BR,2022,7,2022-07-30 - 2022-08-05,ST_BR_AUG22_PT_SOCIAL-ECOM,ECOM Boost,430874.0,430874.0,430874.0,430874.0,484.07003315,484.07003315,484.07003315,484.07003315,2022-07-30,202230,ST,STANLEY,Brasil,1,4.894736842105263,269652.3164411846,28973.906398930718,-149.20575005503042,70.4743949978772,top_men,
208,MX,2022,7,2022-07-23 - 2022-07-29,ST_MX_JUL22_PT_SOCIAL-ECOM,ECOM Boost,1780377.0,1780377.0,233606.0,1006991.5,613.96,613.96,202.24,408.1,2022-07-23,202229,ST,STANLEY,Mexico,2,5.545454545454546,249309.01950477422,28973.906398930718,-149.20575005503042,70.4743949978772,top_men,0.9371067811865476
209,BR,2022,8,2022-08-06 - 2022-08-12,BD_BR_CONV_FathersDay,Fathers Day,3439216.0,3439216.0,607997.0,2023206.6666666667,4551.11,4551.11,786.91003735,2895.04333425,2022-08-06,202231,BD,BLACK+DECKER,Brasil,3,4.894736842105263,495481.9079853778,28973.906398930718,-149.20575005503042,70.4743949978772,top_men,1.0701905891162666
210,MX,2022,8,2022-08-06 - 2022-08-12,BD_MX_AUG22_PT_SOCIAL-ECOM,ECOM Boost,650311.0,650311.0,650311.0,650311.0,319.03,319.03,319.03,319.03,2022-08-06,202231,BD,BLACK+DECKER,Mexico,1,5.545454545454546,415624.9026708851,28973.906398930718,-149.20575005503042,70.4743949978772,top_men,
211,BR,2022,8,2022-08-20 - 2022-08-26,DW_BR_AWR_Aug22_PT_CORDLESS_REG,Cordless DW,4590958.0,4590958.0,969699.0,2302422.6666666665,3132.77,3132.77,316.05992059,1434.7033068633334,2022-08-20,202233,DW,DEWALT,Brasil,3,3.1666666666666665,690814.2414884226,20352.430516034223,-287.89129936182144,119.08885824032664,top_men,0.9507298504345875
212,MX,2022,8,2022-08-27 - 2022-09-02,DW_MX_AWR_Aug22_PT_CORDLESS_REG,Cordless DW,9187983.0,9187983.0,427875.0,3200725.8333333335,5389.51,5389.51,296.49031832,2223.1450531566666,2022-08-27,202234,DW,DEWALT,Mexico,6,2.5555555555555554,1104853.3902180681,70784.82094115416,-885.5796751917983,283.9040953202523,top_men,1.5650329325525427
213,BR,2022,8,2022-08-27 - 2022-09-02,IW_BR_AWR_AUG22_Trade-strong_LOCAL,Trade Strong,7024397.0,7024397.0,359069.0,3691733.0,3841.81000016,3841.81000016,86.53,1964.1700000800001,2022-08-27,202234,IW,IRWIN,Brasil,2,3.1666666666666665,37578.38064868431,70784.82094115416,-885.5796751917983,283.9040953202523,top_men,0.6118376618407355
214,BR,2022,8,2022-08-27 - 2022-09-02,ST_BR_AWR_Aug22_PT_V20_REG,v20,6704611.0,6704611.0,258045.0,3481328.0,3386.01,3386.01,188.39,1787.2,2022-08-27,202234,ST,STANLEY,Brasil,2,3.5714285714285716,260351.48104795648,70784.82094115416,-885.5796751917983,283.9040953202523,top_men,0.9371067811865476
215,MX,2022,8,2022-08-27 - 2022-09-02,ST_MX_AWR_Aug22_PT_V20_REG,v20,5849737.0,5849737.0,353338.0,2103309.0,2431.39,2431.39,274.19,917.4000000775,2022-08-27,202234,ST,STANLEY,Mexico,4,4.875,242446.95551821374,70784.82094115416,-885.5796751917983,283.9040953202523,top_men,1.4742504949710105
216,BR,2022,9,2022-09-17 - 2022-09-23,BD_BR_AWR_Sep22_PT_RENUEVA-TU-HOGAR_REG,Renueva tu hogar,14725712.0,14725712.0,5.0,2695000.75,6596.84000015,6596.84000015,0.00999994,1538.63875003375,2022-09-17,202237,BD,BLACK+DECKER,Brasil,8,3.8,480633.36128932674,70784.82094115416,-885.5796751917983,283.9040953202523,top_men,2.255385804870897
